food_id,name,category,calories,protein,carbs,fat,proposed_status,review_status,notes,issues_summary
1,Izgara Köfte,Et & Tavuk,309,27,3,21,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
3,Yulaf Ezmesi,Tahıl & Ekmek,191,8,33,3,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
4,Mercimek Çorbası,Çorba,155,10,22,3,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
7,Pirinç Pilavı,Tahıl & Ekmek,189,4,42,0.5,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
8,Kuru Fasulye,Baklagil,283,18,46,3,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW | candidate_quality=likely_related | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
9,Zeytinyağlı Salata,Yağ & Sos,128,2.3,6,10.5,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
10,Tam Yağlı Süt,Süt Ürünleri,123,6.4,9.6,6.6,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
12,Kinoa,Tahıl & Ekmek,178,6.6,31.5,2.8,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
13,Avokado,Meyve,269,3,13.5,22.5,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
14,Yoğurt (Tam Yağlı),Süt Ürünleri,94,5.3,7.1,4.9,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder
