candidate_id,name_tr,name_en,category_tr,category_en,default_portion_label_tr,default_portion_grams,aliases_tr,tags,preferred_source,source_priority,notes
bev_001,Su,Water,İçecek,Beverage,1 Su Bardağı,200,"su, water",Vegan;Vejetaryen;Glutensiz;Laktozsuz,MANUAL_REVIEW,1,0 kcal baseline; verify as standard water
bev_002,Maden Suyu (Sade),Plain mineral water,İçecek,Beverage,1 Şişe,200,"maden suyu, soda, mineralli su",Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,packaged/mineral content varies; barcode preferred
bev_003,Soda (Sade),Club soda,İçecek,Beverage,1 Şişe,200,"soda, sade soda",Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,packaged carbonated water; barcode preferred
bev_004,Türk Çayı (Şekersiz),"Black tea, unsweetened",İçecek,Beverage,1 Çay Bardağı,100,"çay, türk çayı, şekersiz çay",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,plain unsweetened tea
bev_005,Türk Çayı (Şekerli),Black tea with sugar,İçecek,Beverage,1 Çay Bardağı,100,"şekerli çay, çay şekerli",Vegan;Vejetaryen;Glutensiz;Laktozsuz,RECIPE,2,recipe: tea + sugar amount; user sugar count may be useful
bev_006,Bitki Çayı (Şekersiz),"Herbal tea, unsweetened",İçecek,Beverage,1 Fincan,200,"bitki çayı, herbal tea",Vegan;Vejetaryen;Glutensiz;Laktozsuz,MANUAL_REVIEW,3,weak coverage; usually near-zero if unsweetened
bev_007,Ihlamur Çayı,Linden tea,İçecek,Beverage,1 Fincan,200,"ıhlamur, ıhlamur çayı",Vegan;Vejetaryen;Glutensiz;Laktozsuz,MANUAL_REVIEW,3,herbal infusion; verify as unsweetened
bev_008,Yeşil Çay (Şekersiz),"Green tea, unsweetened",İçecek,Beverage,1 Fincan,200,"yeşil çay, green tea",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,plain unsweetened green tea
bev_009,Türk Kahvesi (Sade),"Turkish coffee, unsweetened",İçecek,Beverage,1 Fincan,60,"türk kahvesi, sade kahve",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_MANUAL,2,plain coffee; Turkish serving size differs
bev_010,Filtre Kahve (Sade),"Brewed coffee, black",İçecek,Beverage,1 Kupa,240,"filtre kahve, sade filtre kahve",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,black brewed coffee
bev_011,Espresso,Espresso coffee,İçecek,Beverage,1 Shot,30,espresso,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,espresso shot
bev_012,Americano,Americano coffee,İçecek,Beverage,1 Kupa,240,americano,Vegan;Vejetaryen;Glutensiz;Laktozsuz,RECIPE,2,espresso + water; near black coffee
bev_013,Latte,Latte,İçecek,Beverage,1 Bardak,250,"latte, cafe latte",Vejetaryen;Glutensiz;Kuruyemişsiz,RECIPE_OR_OPEN_FOOD_FACTS,2,milk ratio varies; recipe or branded cafe
bev_014,Cappuccino,Cappuccino,İçecek,Beverage,1 Fincan,180,cappuccino,Vejetaryen;Glutensiz;Kuruyemişsiz,RECIPE_OR_OPEN_FOOD_FACTS,2,milk ratio varies
bev_015,Sütlü Türk Kahvesi,Turkish coffee with milk,İçecek,Beverage,1 Fincan,100,sütlü türk kahvesi,Vejetaryen;Glutensiz,RECIPE,2,coffee + milk; sugar optional
bev_016,Ayran,Ayran,İçecek,Beverage,1 Su Bardağı,200,ayran,Vejetaryen;Glutensiz;Kuruyemişsiz,TURKOMP_OR_RECIPE,1,Turkish drink; recipe/yogurt-water-salt
bev_017,Kefir,Kefir,İçecek,Beverage,1 Su Bardağı,200,kefir,Vejetaryen;Glutensiz;Kuruyemişsiz,USDA_OR_OPEN_FOOD_FACTS,2,plain kefir values vary by fat
bev_018,Tam Yağlı Süt,Whole milk,İçecek,Beverage,1 Su Bardağı,200,"süt, tam yağlı süt",Vejetaryen;Glutensiz;Kuruyemişsiz,USDA,1,basic dairy beverage
bev_019,Yarım Yağlı Süt,Reduced-fat milk,İçecek,Beverage,1 Su Bardağı,200,yarım yağlı süt,Vejetaryen;Glutensiz;Kuruyemişsiz,USDA,1,basic dairy beverage
bev_020,Yağsız Süt,Skim milk,İçecek,Beverage,1 Su Bardağı,200,"yağsız süt, light süt",Vejetaryen;Glutensiz;Kuruyemişsiz,USDA,1,basic dairy beverage
