candidate_id,name_tr,name_en,category_tr,category_en,default_portion_label_tr,default_portion_grams,aliases_tr,tags,preferred_source,source_priority,notes
exp_001,Yaban Mersini,Blueberries,Meyve,Fruit,1 Kase,75,"yaban mersini, blueberries",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,Raw fresh fruit — USDA match expected
exp_002,Misket Limonu,Lime,Meyve,Fruit,1 Adet,60,"misket limonu, lime",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,Raw citrus — USDA match expected
exp_003,Trabzon Hurması,Persimmon,Meyve,Fruit,1 Adet,150,"trabzon hurması, persimmon",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,Raw fruit — USDA match expected
exp_004,Çarkıfelek,Passion fruit,Meyve,Fruit,1 Adet,80,"çarkıfelek, passion fruit",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,Raw tropical fruit — USDA match expected
exp_005,Kuru İncir,Dried figs,Meyve,Fruit,1 Adet,20,"kuru incir, dried fig",Vegan;Vejetaryen;Glutensiz;Laktozsuz;Yüksek Lif,USDA,1,Dried fruit — verify moisture-adjusted values
exp_006,Kuru Erik,Dried plums (prunes),Meyve,Fruit,1 Adet,10,"kuru erik, kuru kayısı benzeri",Vegan;Vejetaryen;Glutensiz;Laktozsuz;Yüksek Lif,USDA,1,Dried fruit — not fresh plum
exp_007,Kızılcık,Cranberries,Meyve,Fruit,1 Kase,50,"kızılcık, cranberry",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,Raw or dried cranberry — check preparation state
exp_008,Kestane (Haşlanmış),Chestnuts boiled,Meyve,Fruit,1 Kase,80,"kestane, chestnut boiled",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,Boiled chestnuts — seasonal Turkish snack
exp_009,Turp,Radish,Sebze,Vegetable,1 Adet,50,"turp, radish",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,Raw vegetable
exp_010,Brüksel Lahanası (Haşlanmış),Brussels sprouts boiled,Sebze,Vegetable,1 Kase,80,"brüksel lahanası, brussels sprouts",Vegan;Vejetaryen;Glutensiz;Laktozsuz;Yüksek Lif,USDA,1,Boiled — match cooking state carefully
