candidate_id,name_tr,name_en,category_tr,target_state,preferred_source,exists_in_current_catalog,existing_food_id,existing_food_name,existing_match_confidence,original_match_status,usda_food_id,usda_name_en,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,usda_score,state_match,base_food_match,category_match,variant_warning,missing_nutrient_warning,audit_decision,audit_note
wl_011,Filtre Kahve (Sade),Brewed coffee black,İçecek,unsweetened,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_012,Espresso,Espresso,İçecek,plain,USDA,false,,,none,can_update_from_usda,1884,Espresso,9,0.12,1.67,0.18,0,0,14,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_023,Yağsız Süt,Skim milk,İçecek,skim milk,USDA,false,,,none,can_update_from_usda,5674,Skim Milk,37,3.57,5.02,0.25,0,5.02,53,75,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_031,Portakal Suyu,Orange juice,İçecek,100% juice,USDA,false,,,none,can_update_from_usda,4646,Orange Juice,45,0.7,10.4,0.2,0.2,8.4,1,75,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_033,Greyfurt Suyu,Grapefruit juice,İçecek,100% juice,USDA,false,,,none,can_update_from_usda,537,White Grapefruit Juice,39,0.5,9.2,0.1,0.1,9.1,1,83.5,true,true,true,"Aday, istenen jenerik gıdadan daha özel bir varyant olabilir.",,manual_review_new_food,"Yeni gıda; USDA adayı orta güven: Aday, istenen jenerik gıdadan daha özel bir varyant olabilir."
wl_039,Domates Suyu,Tomato juice,İçecek,any,USDA,false,,,none,can_update_from_usda,3336,Clam and Tomato Juice,48,0.6,10.95,0.2,0.4,3.31,362,83.5,true,true,true,"Aday, istenen jenerik gıdadan daha özel bir varyant olabilir.",,manual_review_new_food,"Yeni gıda; USDA adayı orta güven: Aday, istenen jenerik gıdadan daha özel bir varyant olabilir."
wl_040,Havuç Suyu,Carrot juice,İçecek,any,USDA,false,,,none,can_update_from_usda,3073,Canned Carrot Juice,40,0.95,9.28,0.15,0.8,3.91,66,83.5,true,true,true,"Aday, istenen jenerik gıdadan daha özel bir varyant olabilir.",,manual_review_new_food,"Yeni gıda; USDA adayı orta güven: Aday, istenen jenerik gıdadan daha özel bir varyant olabilir."
wl_076,Mango Suyu,Mango juice,İçecek,any,USDA,false,,,none,wrong_or_weak_match,4087,"Mango Nectar, Canned",51,0.11,13.12,0.06,0.3,12.45,5,21.6667,false,true,true,"Aday, istenen jenerik gıdadan daha özel bir varyant olabilir.",,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_078,Limon Suyu (Sıkma),Fresh lemon juice,İçecek,raw,USDA,false,,,none,can_update_from_usda,4035,"Lemon Juice, Raw",22,0.35,6.9,0.24,0.3,2.52,1,69.2143,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_079,Portakal Suyu (Taze Sıkma),Fresh squeezed orange juice,İçecek,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_090,Demleme Çay (Büyük Fincan),Brewed tea large cup,İçecek,unsweetened,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_091,Cold Brew Kahve,Cold brew coffee,İçecek,unsweetened,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_101,Sıcak Süt,Hot milk,İçecek,whole milk,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_111,Yaban Mersini,Blueberries,Meyve,raw,USDA,false,,,none,can_update_from_usda,6425,"Blueberries, Raw",63.8563,0.7031,14.5718,0.3063,0,0,0,88.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
