candidate_id,name_tr,name_en,category_tr,preferred_source,candidate_portion_label,candidate_portion_grams,candidate_1_food_id,candidate_1_name_tr,candidate_1_name_en,candidate_1_category_tr,candidate_1_calories_100g,candidate_1_protein_100g,candidate_1_carbs_100g,candidate_1_fat_100g,candidate_2_food_id,candidate_2_name_tr,candidate_2_name_en,candidate_2_calories_100g,match_status,review_note,recommended_action
exp_001,Yaban Mersini,Blueberries,Meyve,USDA,1 Kase,75,335,"Bebek Maması, Junior Meyve Elma ve Yaban Mersini","Baby Food, Fruit, Apple & Blueberry, Junior",Bebek Gıdası,62,0.2,16.6,0.2,6425,Çiğ Yaban Mersini,"Blueberries, Raw",63.8563,wrong_or_weak_match,Top USDA candidate name diverges significantly from requested food.,1. aday yanlış; 2. aday elle kontrol edilebilir
exp_002,Misket Limonu,Lime,Meyve,USDA,1 Adet,60,4025,"Lime limonatası, dondurulmuş, hazırlanmış","Limeade, Frozen, Prepared",İçecek,52,0,13.79,0,4027,"Lime suyu, çiğ","Lime Juice, Raw",25,wrong_or_weak_match,Top USDA candidate name diverges significantly from requested food.,1. aday yanlış; 2. aday elle kontrol edilebilir
exp_003,Trabzon Hurması,Persimmon,Meyve,USDA,1 Adet,150,6168,Çiğ Japon Trabzon Hurması,Raw Japanese Persimmon,Meyve,70,0.58,18.59,0.19,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_004,Çarkıfelek,Passion fruit,Meyve,USDA,1 Adet,80,6258,Çiğ Mor Çarkıfelek Meyvesi,Raw Purple Passion Fruit,Meyve,97,2.2,23.38,0.7,4210,Mor Çarkıfelek Meyvesi Suyu,Purple Passion Fruit Juice,51,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_005,Kuru İncir,Dried figs,Meyve,USDA,1 Adet,20,2262,Haşlanmış Kuru İncir,Stewed Dried Figs,Meyve,107,1.42,27.57,0.4,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_006,Kuru Erik,Dried plums (prunes),Meyve,USDA,1 Adet,10,339,"Bebek Maması, Junior Meyve Kuru Erik ile Tapyoka","Baby Food, Fruit, Prunes With Tapioca, Junior",Bebek Gıdası,70,0.6,18.7,0.1,435,"Bebek Maması, Süzme Kuru Erik","Baby Food, Prunes, Strained",100,wrong_or_weak_match,Top USDA candidate name diverges significantly from requested food.,1. aday yanlış; 2. aday elle kontrol edilebilir
exp_007,Kızılcık,Cranberries,Meyve,USDA,1 Kase,50,3997,Kızılcık-elma suyu içeceği,Cranberry Apple Juice Drink,İçecek,19,0.1,4.7,0,2986,Konsantreden Raf Ömrü Uzun Kızılcık Suyu,"Cranberry Juice, From Concentrate, Shelf-Stable",32.0925,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_008,Kestane (Haşlanmış),Chestnuts boiled,Meyve,USDA,1 Kase,80,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_009,Turp,Radish,Sebze,USDA,1 Adet,50,576,"Beyaz Uzun Turp, Çiğ","White Icicle Radish, Raw",Sebze,14,1.1,2.63,0.1,6235,Çiğ Kırmızı Turp,"Red Radishes, Raw",19.6004,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_010,Brüksel Lahanası (Haşlanmış),Brussels sprouts boiled,Sebze,USDA,1 Kase,80,2340,Haşlanmış tuzsuz brüksel lahanası,Boiled without Salt Brussels Sprouts,Sebze,36,2.55,7.1,0.5,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_011,Kuşkonmaz (Haşlanmış),Asparagus boiled,Sebze,USDA,1 Kase,60,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
