candidate_id,name_tr,name_en,category_tr,target_state,preferred_source,exists_in_current_catalog,existing_food_id,existing_food_name,existing_match_confidence,original_match_status,usda_food_id,usda_name_en,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,usda_score,state_match,base_food_match,category_match,variant_warning,missing_nutrient_warning,audit_decision,audit_note
wl_001,Su,Water,İçecek,plain,MANUAL_REVIEW,false,,,none,manual_review_needed,,,,,,,,,,,,,,,,manual_source_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_002,Maden Suyu (Sade),Plain mineral water,İçecek,plain,OPEN_FOOD_FACTS,false,,,none,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_003,Soda (Sade),Club soda,İçecek,plain,OPEN_FOOD_FACTS,false,,,none,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_004,Türk Çayı (Şekersiz),Black tea unsweetened,İçecek,unsweetened,USDA,true,38,Türk Çayı (Şekersiz),exact,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_005,Türk Çayı (Şekerli),Black tea with sugar,İçecek,sweetened,TURKOMP_OR_RECIPE,true,38,Türk Çayı (Şekersiz),medium,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_006,Yeşil Çay (Şekersiz),Green tea unsweetened,İçecek,unsweetened,USDA,false,,,none,likely_match_manual_check,6587,Ready-to-drink Green Tea Unsweetened,0,0,0,0,0,0,7,47.8571,false,true,true,,,reject_wrong_usda_match,Pişirme/çiğ durumu uyuşmuyor. Alternatif USDA adayı da uygun değil.
wl_007,Bitki Çayı (Şekersiz),Herbal tea unsweetened,İçecek,unsweetened,MANUAL_REVIEW,false,,,none,manual_review_needed,,,,,,,,,,,,,,,,manual_source_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_008,Ihlamur Çayı,Linden tea,İçecek,unsweetened,MANUAL_REVIEW,false,,,none,manual_review_needed,,,,,,,,,,,,,,,,manual_source_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_009,Papatya Çayı,Chamomile tea,İçecek,unsweetened,MANUAL_REVIEW,false,,,none,manual_review_needed,,,,,,,,,,,,,,,,manual_source_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_010,Türk Kahvesi (Sade),Turkish coffee unsweetened,İçecek,unsweetened,USDA,true,39,Türk Kahvesi (Sade),exact,wrong_or_weak_match,1262,Brewed Coffee,2,0.3,0.17,0,0,0,1,19.2857,false,false,true,,,manual_review_existing_food,Kültüre özgü hazırlık ile jenerik USDA adayı uyuşmuyor. Mevcut katalog girdisi var (Türk Kahvesi (Sade)).
wl_011,Filtre Kahve (Sade),Brewed coffee black,İçecek,unsweetened,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_012,Espresso,Espresso,İçecek,plain,USDA,false,,,none,can_update_from_usda,1884,Espresso,9,0.12,1.67,0.18,0,0,14,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_013,Americano,Americano,İçecek,plain,TURKOMP_OR_RECIPE,false,,,none,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_014,Latte,Latte,İçecek,prepared,TURKOMP_OR_RECIPE,false,,,none,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_015,Cappuccino,Cappuccino,İçecek,prepared,TURKOMP_OR_RECIPE,false,,,none,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_016,Flat White,Flat white,İçecek,prepared,TURKOMP_OR_RECIPE,false,,,none,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_017,Mocha,Mocha coffee,İçecek,prepared,TURKOMP_OR_RECIPE,false,,,none,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_018,Sütlü Türk Kahvesi,Turkish coffee with milk,İçecek,prepared,TURKOMP_OR_RECIPE,false,,,none,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_019,Ayran,Ayran,İçecek,prepared,TURKOMP_OR_RECIPE,true,37,Ayran,medium,recipe_or_turkomp_needed,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_020,Kefir,Kefir plain,İçecek,plain,USDA,true,95,Kefir,exact,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_021,Tam Yağlı Süt,Whole milk,İçecek,whole milk,USDA,true,10,Tam Yağlı Süt,exact,can_update_from_usda,5123,Whole Milk,64,3.28,4.65,3.66,0,0,49,85,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Tam Yağlı Süt) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_022,Yarım Yağlı Süt,Reduced-fat milk,İçecek,reduced fat,USDA,true,171,Yarım Yağlı Süt,exact,can_update_from_usda,5509,Reduced-Fat Milk,50,3.35,4.91,1.9,0,0,39,77.8571,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Yarım Yağlı Süt) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_023,Yağsız Süt,Skim milk,İçecek,skim milk,USDA,false,,,none,can_update_from_usda,5674,Skim Milk,37,3.57,5.02,0.25,0,5.02,53,75,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_024,Laktozsuz Süt,Lactose-free milk,İçecek,plain,OPEN_FOOD_FACTS,false,,,none,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_025,Soya Sütü (Şekersiz),Unsweetened soy milk,İçecek,unsweetened,OPEN_FOOD_FACTS,true,140,Soya Sütü,medium,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_026,Badem Sütü (Şekersiz),Unsweetened almond milk,İçecek,unsweetened,OPEN_FOOD_FACTS,false,,,none,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_027,Yulaf Sütü (Şekersiz),Unsweetened oat milk,İçecek,unsweetened,OPEN_FOOD_FACTS,false,,,none,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_028,Hindistan Cevizi Sütü,Coconut milk beverage,İçecek,unsweetened,OPEN_FOOD_FACTS,false,,,none,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_029,Kakaolu Süt,Chocolate milk,İçecek,any,OPEN_FOOD_FACTS,false,,,none,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_030,Muzlu Süt,Banana milk,İçecek,any,OPEN_FOOD_FACTS,true,239,Muzlu Süt,exact,open_food_facts_needed,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_031,Portakal Suyu,Orange juice,İçecek,100% juice,USDA,false,,,none,can_update_from_usda,4646,Orange Juice,45,0.7,10.4,0.2,0.2,8.4,1,75,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_032,Elma Suyu,Apple juice,İçecek,100% juice,USDA,false,,,none,likely_match_manual_check,3997,Cranberry Apple Juice Drink,19,0.1,4.7,0,0.1,4.6,5,45,true,false,true,,,reject_wrong_usda_match,Tek meyve suyu isteniyor; karışık meyve suyu içeceği reddedildi. Alternatif USDA adayı da uygun değil.
wl_033,Greyfurt Suyu,Grapefruit juice,İçecek,100% juice,USDA,false,,,none,can_update_from_usda,537,White Grapefruit Juice,39,0.5,9.2,0.1,0.1,9.1,1,83.5,true,true,true,"Aday, istenen jenerik gıdadan daha özel bir varyant olabilir.",,manual_review_new_food,"Yeni gıda; USDA adayı orta güven: Aday, istenen jenerik gıdadan daha özel bir varyant olabilir."
