candidate_id,name_tr,name_en,target_state,preferred_source,candidate_1_food_id,candidate_1_name_en,candidate_1_name_tr,candidate_1_category,candidate_1_calories_100g,candidate_1_protein_100g,candidate_1_carbs_100g,candidate_1_fat_100g,candidate_1_fiber_100g,candidate_1_sugar_100g,candidate_1_sodium_mg_100g,candidate_1_score,candidate_2_food_id,candidate_2_name_en,candidate_2_name_tr,candidate_2_category,candidate_2_calories_100g,candidate_2_protein_100g,candidate_2_carbs_100g,candidate_2_fat_100g,candidate_2_fiber_100g,candidate_2_sugar_100g,candidate_2_sodium_mg_100g,candidate_2_score,candidate_3_food_id,candidate_3_name_en,candidate_3_name_tr,candidate_3_category,candidate_3_calories_100g,candidate_3_protein_100g,candidate_3_carbs_100g,candidate_3_fat_100g,candidate_3_fiber_100g,candidate_3_sugar_100g,candidate_3_sodium_mg_100g,candidate_3_score,match_status,review_note
wl_001,Su,Water,plain,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_002,Maden Suyu (Sade),Plain mineral water,plain,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_003,Soda (Sade),Club soda,plain,OPEN_FOOD_FACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA skipped.
wl_004,Türk Çayı (Şekersiz),Black tea unsweetened,unsweetened,USDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_source_match,No USDA candidates passed strict scoring filters.
wl_005,Türk Çayı (Şekerli),Black tea with sugar,sweetened,TURKOMP_OR_RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish dish or recipe-based item — TürKomp or ingredient recipe; USDA skipped.
wl_006,Yeşil Çay (Şekersiz),Green tea unsweetened,unsweetened,USDA,6587,Ready-to-drink Green Tea Unsweetened,İçime hazır i̇çime hazır yeşil çay şekersiz,İçecek,0,0,0,0,0,0,7,47.8571,,,,,,,,,,,,,,,,,,,,,,,,,likely_match_manual_check,Plausible USDA candidate — manual review required before catalog update.
wl_007,Bitki Çayı (Şekersiz),Herbal tea unsweetened,unsweetened,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_008,Ihlamur Çayı,Linden tea,unsweetened,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_009,Papatya Çayı,Chamomile tea,unsweetened,MANUAL_REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual_review_needed,Low-coverage or baseline item — manual nutrition review; USDA optional.
wl_010,Türk Kahvesi (Sade),Turkish coffee unsweetened,unsweetened,USDA,1262,Brewed Coffee,Demlenmiş kahve,İçecek,2,0.3,0.17,0,0,0,1,19.2857,,,,,,,,,,,,,,,,,,,,,,,,,wrong_or_weak_match,Weak name/category alignment — do not auto-import.
