catalog_food_id,slug,name_tr,name_en,category_tr,category_en,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g,default_portion_label_tr,default_portion_label_en,default_portion_grams,aliases_tr,aliases_en,tags,search_text_tr,search_text_en,source_type,source_name,source_food_id,confidence,review_status,visible
1,izgara_kofte,Izgara Köfte,,Et & Tavuk,Meat & Poultry,206,18,2,14,0,0,0,1 Porsiyon,,150,"Izgara Köfte, ızgara köfte, izgara kofte",,"Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Izgara Köfte Izgara Köfte, ızgara köfte, izgara kofte Et & Tavuk Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
2,tavuk_gogsu_izgara,Tavuk Göğsü (Izgara),,Et & Tavuk,Meat & Poultry,152.6667,30.6667,0,3.3333,0,0,0,1 Porsiyon,,150,"Tavuk Göğsü (Izgara), Tavuk Göğsü, tavuk göğsü ızgara, tavuk göğsü, tavuk gogsu izgara",,"Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Keto","Tavuk Göğsü (Izgara) Tavuk Göğsü (Izgara), Tavuk Göğsü, tavuk göğsü ızgara, tavuk göğsü, tavuk gogsu izgara Et & Tavuk Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Keto",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
3,yulaf_ezmesi,Yulaf Ezmesi,,Tahıl & Ekmek,Grains & Bread,382,16,66,6,0,0,0,1 Kase,,50,"Yulaf Ezmesi, yulaf ezmesi",,"Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif","Yulaf Ezmesi Yulaf Ezmesi, yulaf ezmesi Tahıl & Ekmek Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
4,mercimek_corbasi,Mercimek Çorbası,,Çorba,Soup,62,4,8.8,1.2,0,0,0,1 Kase,,250,"Mercimek Çorbası, mercimek çorbası, mercimek corbasi",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI, Akdeniz","Mercimek Çorbası Mercimek Çorbası, mercimek çorbası, mercimek corbasi Çorba Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI, Akdeniz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
5,tam_bugday_ekmek,Tam Buğday Ekmek,,Tahıl & Ekmek,Grains & Bread,242.8571,14.2857,40,2.8571,0,0,0,1 Dilim,,35,"Tam Buğday Ekmek, tam buğday ekmek, tam bugday ekmek",,"Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif","Tam Buğday Ekmek Tam Buğday Ekmek, tam buğday ekmek, tam bugday ekmek Tahıl & Ekmek Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
6,haslanmis_yumurta,Haşlanmış Yumurta,,Genel,General,142,12,1.2,10,0,0,0,1 Adet,,50,"Haşlanmış Yumurta, haşlanmış yumurta, haslanmis yumurta",,"Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Keto","Haşlanmış Yumurta Haşlanmış Yumurta, haşlanmış yumurta, haslanmis yumurta Genel Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Keto",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
7,pirinc_pilavi,Pirinç Pilavı,,Tahıl & Ekmek,Grains & Bread,126,2.6667,28,0.3333,0,0,0,1 Porsiyon,,150,"Pirinç Pilavı, pirinç pilavı, pirinc pilavi",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Pirinç Pilavı Pirinç Pilavı, pirinç pilavı, pirinc pilavi Tahıl & Ekmek Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
8,kuru_fasulye,Kuru Fasulye,,Baklagil,Legumes,141.5,9,23,1.5,0,0,0,1 Porsiyon,,200,"Kuru Fasulye, kuru fasulye",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI","Kuru Fasulye Kuru Fasulye, kuru fasulye Baklagil Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
9,zeytinyagli_salata,Zeytinyağlı Salata,,Yağ & Sos,Oils & Sauces,85.3333,1.5333,4,7,0,0,0,1 Kase,,150,"Zeytinyağlı Salata, zeytinyağlı salata, zeytinyagli salata",,"Vegan, Vejetaryen, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Zeytinyağlı Salata Zeytinyağlı Salata, zeytinyağlı salata, zeytinyagli salata Yağ & Sos Vegan, Vejetaryen, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
10,tam_yagli_sut,Tam Yağlı Süt,,Süt Ürünleri,Dairy,61.5,3.2,4.8,3.3,0,0,0,1 Su Bardağı,,200,"Tam Yağlı Süt, tam yağlı süt, tam yagli sut",,"Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz","Tam Yağlı Süt Tam Yağlı Süt, tam yağlı süt, tam yagli sut Süt Ürünleri Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
11,somon_izgara,Somon (Izgara),,Balık & Deniz,Fish & Seafood,200,20,0,13.3333,0,0,0,1 Porsiyon,,150,"Somon (Izgara), Somon, somon ızgara, somon, somon izgara",,"Glutensiz, Laktozsuz, Kuruyemişsiz, Akdeniz, Keto, Yüksek Protein","Somon (Izgara) Somon (Izgara), Somon, somon ızgara, somon, somon izgara Balık & Deniz Glutensiz, Laktozsuz, Kuruyemişsiz, Akdeniz, Keto, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
12,kinoa,Kinoa,,Tahıl & Ekmek,Grains & Bread,118.6667,4.4,21,1.8667,0,0,0,1 Kase,,150,"Kinoa, kinoa",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Düşük GI","Kinoa Kinoa, kinoa Tahıl & Ekmek Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Düşük GI",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
