food_id,name_tr,name_en,category_tr,current_calories_100g,current_protein_100g,current_carbs_100g,current_fat_100g,current_fiber_100g,current_sugar_100g,current_sodium_mg_100g,usda_food_id,usda_name_tr,usda_name_en,usda_category_tr,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,calorie_diff,protein_diff,carbs_diff,fat_diff,fiber_diff,sugar_diff,sodium_diff,match_confidence,verification_decision,review_note
2,Tavuk Göğsü (Izgara),Chicken breast grilled,Et & Tavuk,152.6667,30.6667,0,3.3333,0,0,0,1276,"Derisiz Kemiksiz Tavuk Göğsü, Izgara",,,151,30.54,0,3.17,0,0,0,-1.6667,-0.1267,0,-0.1633,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
3,Yulaf Ezmesi,Oats dry,Tahıl & Ekmek,382,16,66,6,0,0,0,5792,"Yulaf, Kuru","Oats, Dry",Tahıl ve Ekmek,379,13.15,67.7,6.52,10.1,0.99,6,-3,-2.85,1.7,0.52,10.1,0.99,6,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
5,Tam Buğday Ekmek,Whole wheat bread,Tahıl & Ekmek,242.8571,14.2857,40,2.8571,0,0,0,5083,Tam Buğday Ekmeği,Whole Wheat Bread,Tahıl ve Ekmek,254,12.3,43.1,3.55,6,0,450,11.1429,-1.9857,3.1,0.6929,6,0,450,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
6,Haşlanmış Yumurta,Egg boiled,Yumurta,142,12,1.2,10,0,0,0,,,,,,,,,,,,,,,,,,,none,no_source_match,Supabase ve önceki eşleşme dosyasında uygun USDA adayı bulunamadı.
7,Pirinç Pilavı,Rice pilaf,Tahıl & Ekmek,126,2.6667,28,0.3333,0,0,0,4456,"Pilav Aromalı Pirinç ve Şehriye Karışımı, Hazırlanmamış","Rice Pilaf and Vermicelli Mix, Unprepared",Hazır Ürün,359,10.42,76.31,1.37,1.2,1.53,1303,233,7.7533,48.31,1.0367,1.2,1.53,1303,none,recipe_or_turkomp_needed,Hazır yemek/tarif gıdası — USDA yerine TürKomp veya tarif hesabı gerekli.
8,Kuru Fasulye,White beans,Baklagil,141.5,9,23,1.5,0,0,0,6220,Çiğ Kuru Fasulye,,,337,22.33,60.75,1.5,0,0,0,195.5,13.33,37.75,0,0,0,0,medium,likely_match_manual_check,İsim benzerliği var ancak makrolar belirgin şekilde farklı — porsiyon/durum kontrolü gerekli.
10,Tam Yağlı Süt,Milk whole,Süt Ürünleri,61.5,3.2,4.8,3.3,0,0,0,5123,Tam yağlı süt,Whole Milk,Süt Ürünleri,64,3.28,4.65,3.66,0,0,49,2.5,0.08,-0.15,0.36,0,0,49,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
11,Somon (Izgara),Salmon grilled,Balık & Deniz,200,20,0,13.3333,0,0,0,,,,,,,,,,,,,,,,,,,none,no_source_match,Supabase ve önceki eşleşme dosyasında uygun USDA adayı bulunamadı.
12,Kinoa,Quinoa,Tahıl & Ekmek,118.6667,4.4,21,1.8667,0,0,0,2968,Kinoa Unu,,,385.197,11.9223,69.5246,6.601,0,0,0,266.5303,7.5223,48.5246,4.7343,0,0,0,medium,likely_match_manual_check,İsim benzerliği var ancak makrolar belirgin şekilde farklı — porsiyon/durum kontrolü gerekli.
13,Avokado,Avocado,Meyve,179.3333,2,9,15,0,0,0,6009,Çiğ Avokado,,,160,2,8.53,14.66,0,0,0,-19.3333,0,-0.47,-0.34,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
