food_id,name,category_before,category_after,calories,protein,carbs,fat,issue_type,action_taken,review_status,notes
1,Izgara Köfte,Et & Tavuk,Et & Tavuk,309,27,3,21,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
2,Tavuk Göğsü (Izgara),Et & Tavuk,Et & Tavuk,229,46,0,5,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
3,Yulaf Ezmesi,Tahıl & Ekmek,Tahıl & Ekmek,191,8,33,3,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
4,Mercimek Çorbası,Çorba,Çorba,155,10,22,3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
5,Tam Buğday Ekmek,Tahıl & Ekmek,Tahıl & Ekmek,85,5,14,1,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
6,Haşlanmış Yumurta,Genel,Yumurta,71,6,0.6,5,category_fix,category: Genel -> Yumurta,pending_verification,Kaynak bulunana kadar pending kalsın Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
7,Pirinç Pilavı,Tahıl & Ekmek,Tahıl & Ekmek,189,4,42,0.5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
8,Kuru Fasulye,Baklagil,Baklagil,283,18,46,3,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
9,Zeytinyağlı Salata,Yağ & Sos,Yağ & Sos,128,2.3,6,10.5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
10,Tam Yağlı Süt,Süt Ürünleri,Süt Ürünleri,123,6.4,9.6,6.6,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
11,Somon (Izgara),Balık & Deniz,Balık & Deniz,300,30,0,20,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
12,Kinoa,Tahıl & Ekmek,Tahıl & Ekmek,178,6.6,31.5,2.8,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
