food_id,name,old_tags,new_tags,removed_tags,added_tags,tag_review_status,review_note
241,Espresso,Deniz Ürünsüz,Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
10,Tam Yağlı Süt,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,,,preserved,Existing tags preserved unless demonstrably invalid.
171,Yarım Yağlı Süt,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein,,,preserved,Existing tags preserved unless demonstrably invalid.
242,Yağsız Süt,Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Vejetaryen,,Vejetaryen,corrected_invalid_tag,Skim milk is not lactose-free; Vejetaryen added per existing dairy convention.
243,Portakal Suyu,Deniz Ürünsüz,Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
244,Limon Suyu (Sıkma),Deniz Ürünsüz,Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
245,Yaban Mersini,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
146,Ahududu,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,,,preserved,Existing tags preserved unless demonstrably invalid.
145,Böğürtlen,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,,,preserved,Existing tags preserved unless demonstrably invalid.
246,Misket Limonu,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
247,Trabzon Hurması,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
248,Çarkıfelek,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
249,Kuru İncir,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
250,Kuru Erik,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
61,Ananas,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,,,preserved,Existing tags preserved unless demonstrably invalid.
148,Mango,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,preserved,Existing tags preserved unless demonstrably invalid.
13,Avokado,Vegan|Vejetaryen|Keto|Akdeniz|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Keto|Akdeniz|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,preserved,Existing tags preserved unless demonstrably invalid.
50,Mandalina,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,,,preserved,Existing tags preserved unless demonstrably invalid.
142,Ayva,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,,,preserved,Existing tags preserved unless demonstrably invalid.
147,Dut,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,preserved,Existing tags preserved unless demonstrably invalid.
150,Kuru Kayısı,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,preserved,Existing tags preserved unless demonstrably invalid.
251,Turp,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
252,Brüksel Lahanası (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
253,Maydanoz (Taze),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
254,Dereotu (Taze),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
255,Kırmızı Lahana (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
256,Patates (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
74,Roka,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Akdeniz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Akdeniz,,,preserved,Existing tags preserved unless demonstrably invalid.
257,Marul (Iceberg),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
17,Ispanak (Çiğ),Vegan|Vejetaryen|Akdeniz|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,Vegan|Vejetaryen|Akdeniz|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif,,,preserved,Existing tags preserved unless demonstrably invalid.
258,Ispanak (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
69,Brokoli (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif|Düşük GI,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif|Düşük GI,,,preserved,Existing tags preserved unless demonstrably invalid.
70,Karnabahar (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Düşük GI|Keto,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Düşük GI|Keto,,,preserved,Existing tags preserved unless demonstrably invalid.
259,Biber (Kırmızı Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
260,Biber (Yeşil Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
66,Salatalık (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Düşük GI,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Düşük GI,,,preserved,Existing tags preserved unless demonstrably invalid.
65,Domates (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Akdeniz|Düşük GI,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Akdeniz|Düşük GI,,,preserved,Existing tags preserved unless demonstrably invalid.
68,Havuç (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif|Düşük GI,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif|Düşük GI,,,preserved,Existing tags preserved unless demonstrably invalid.
261,Havuç (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
262,Kereviz Sapı (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
263,Patates (Fırın),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
264,Tatlı Patates (Fırın),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
265,Enginar (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
266,Pancar (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
267,Lahana (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
268,Dana Kıyma (Pişmiş),Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
6,Yumurta (Haşlanmış),Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein|Keto,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein|Keto,Laktozsuz,,corrected_invalid_tag,Existing tags preserved unless demonstrably invalid.
174,Yumurta (Sahanda),Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein|Keto,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein|Keto,,,preserved,Existing tags preserved unless demonstrably invalid.
269,Parmesan Peyniri,Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,,,corrected,Hard cheese is not lactose-free; Vejetaryen withheld because rennet source is unspecified.
169,Krem Peynir,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,,,preserved,Existing tags preserved unless demonstrably invalid.
270,Cheddar Peyniri,Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,,,corrected,Cheddar is not lactose-free; Vejetaryen withheld without rennet/product definition.
14,Yoğurt (Tam Yağlı),Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein,,,preserved,Existing tags preserved unless demonstrably invalid.
271,Yoğurt (Yağsız),Glutensiz|Kuruyemişsiz|Deniz Ürünsüz,Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Vejetaryen,,Vejetaryen,corrected_invalid_tag,Nonfat yogurt is not lactose-free; Vejetaryen added per existing dairy convention.
