catalog_food_id,name_tr,category_tr,suggested_category_tr,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g,default_portion_label_tr,default_portion_grams,candidate_1_name_tr,candidate_1_calories_100g,candidate_quality,proposed_status,issues_summary,recommended_action
1,Izgara Köfte,Et & Tavuk,,206,18,2,14,0,0,0,1 Porsiyon,150,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
2,Tavuk Göğsü (Izgara),Et & Tavuk,,152.6667,30.6667,0,3.3333,0,0,0,1 Porsiyon,150,"Derisiz Kemiksiz Tavuk Göğsü, Izgara",151.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
3,Yulaf Ezmesi,Tahıl & Ekmek,,382,16,66,6,0,0,0,1 Kase,50,"Bebek Maması, Junior Zenginleştirilmiş Tahıl Gevreği Yulaf Ezmesi",76.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
4,Mercimek Çorbası,Çorba,,62,4,8.8,1.2,0,0,0,1 Kase,250,Konserve Hazır Jambonlu Mercimek Çorbası,56.0,likely_related,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
5,Tam Buğday Ekmek,Tahıl & Ekmek,,242.8571,14.2857,40,2.8571,0,0,0,1 Dilim,35,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
6,Haşlanmış Yumurta,Genel,,142,12,1.2,10,0,0,0,1 Adet,50,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
7,Pirinç Pilavı,Tahıl & Ekmek,,126,2.6667,28,0.3333,0,0,0,1 Porsiyon,150,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
8,Kuru Fasulye,Baklagil,,141.5,9,23,1.5,0,0,0,1 Porsiyon,200,Çiğ Kuru Fasulye,337.0,likely_related,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW | candidate_quality=likely_related | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir
9,Zeytinyağlı Salata,Yağ & Sos,Yağ & Sos,85.3333,1.5333,4,7,0,0,0,1 Kase,150,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
10,Tam Yağlı Süt,Süt Ürünleri,,61.5,3.2,4.8,3.3,0,0,0,1 Su Bardağı,200,"Bebek Maması, Zenginleştirilmiş Yoğurt Tam Yağlı Süt",92.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
